,RECV_CPLT_DM,EVT_CL_CD,HPPN_PNU_ADDR,HPPN_X,HPPN_Y,RECV_year,RECV_month,RECV_day,RECV_hour,RECV_minute,RECV_second,total_address,city,cluster
43,20/12/02 08:53:24,401,세종특별자치시 세종시 도담동(행정:도담동) ,127.258607,36.514502,20,12,2,8,53,24,"도담동 먹자골목, 도담동, 세종, 30098, 대한민국",세종특별자치시,35
46,20/12/04 21:18:10,401,세종특별자치시 세종시 한솔동(한솔동) 984,127.25190369,36.47552271,20,12,4,21,18,10,"617동, 27, 누리로, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
50,20/12/05 04:36:12,401,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,5,4,36,12,"대평지하차도, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
52,20/12/05 04:39:55,401,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,5,4,39,55,"대평지하차도, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
53,20/12/04 15:35:26,401,세종특별자치시 세종시 부강면 부강리(행정:부강면) 119,127.369561,36.528852,20,12,4,15,35,26,"부강5길, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
54,20/12/05 19:08:31,401,세종특별자치시 세종시 종촌동(행정:종촌동) 690,127.247469,36.500698,20,12,5,19,8,31,"가름로, 종촌동, 세종, 30064, 대한민국",세종특별자치시,38
55,20/12/05 16:12:13,401,세종특별자치시 세종시 아름동(행정:아름동) ,127.248802,36.527806,20,12,5,16,12,13,"정안세종로, 아름동, 세종, 30090, 대한민국",세종특별자치시,17
57,20/12/05 17:21:23,401,세종특별자치시 세종시 부강면 부강리(행정:부강면) 430,127.366041,36.529251,20,12,5,17,21,23,"부강로, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
59,20/12/05 15:20:47,401,세종특별자치시 세종시 아름동(행정:아름동) ,127.248802,36.527806,20,12,5,15,20,47,"정안세종로, 아름동, 세종, 30090, 대한민국",세종특별자치시,17
62,20/12/05 21:54:19,401,세종특별자치시 세종시 연서면 월하리(행정:연서면) 533-4,127.290631,36.574496,20,12,5,21,54,19,"리무진모텔, 495, 당산로, 연서면, 세종, 30049, 대한민국",세종특별자치시,11
63,20/12/05 21:10:53,401,세종특별자치시 세종시 연서면 월하리(행정:연서면) 533-4,127.290631,36.574496,20,12,5,21,10,53,"리무진모텔, 495, 당산로, 연서면, 세종, 30049, 대한민국",세종특별자치시,11
64,20/12/05 07:38:02,401,세종특별자치시 세종시 가람동(한솔동) 791-9,127.25251366,36.47145933,20,12,5,7,38,2,"이마트 세종점, 687, 금송로, 가람동, 한솔동, 세종, 30065, 대한민국",세종특별자치시,13
65,20/12/05 11:48:09,401,세종특별자치시 세종시 나성동(행정:새롬동) 741,127.2567871,36.48851449,20,12,5,11,48,9,"새롬시티, 273, 한누리대로, 나성동, 새롬동, 세종, 30127, 대한민국",세종특별자치시,43
68,20/12/04 11:59:37,401,세종특별자치시 세종시 금남면 용포리(행정:금남면) 213-1,127.281216,36.468869,20,12,4,11,59,37,"대평리, 용포로, 대평동, 금남면, 세종, 30153, 대한민국",세종특별자치시,26
69,20/12/04 10:54:45,401,세종특별자치시 세종시 보람동(보람동) 630-4,127.29010072,36.479179,20,12,4,10,54,45,"세종스타힐타워2, 2129, 한누리대로, 보람동, 용포리, 세종, 30151, 대한민국",세종특별자치시,23
70,20/12/08 11:40:20,401,세종특별자치시 한솔동 1234 ,127.2532,36.47163,20,12,8,11,40,20,"세종로, 가람동, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
71,20/12/08 15:32:48,401,세종특별자치시 세종시 금남면 두만리(금남면) 195-2,127.28631,36.433797,20,12,8,15,32,48,"세종로, 금남면, 세종, 30083, 대한민국",세종특별자치시,6
72,20/12/08 15:33:31,401,세종특별자치시 세종시 금남면 두만리(금남면) 402-11,127.285838,36.434065,20,12,8,15,33,31,"세종로, 금남면, 세종, 30083, 대한민국",세종특별자치시,6
74,20/12/08 14:46:40,401,세종특별자치시 세종시 전의면 신방리(전의면) 62,127.20489979,36.6731894,20,12,8,14,46,40,"세종로, 전의면, 세종, 30009, 대한민국",세종특별자치시,0
76,20/12/08 12:16:32,401,세종특별자치시 세종시 금남면 용포리(행정:금남면) ,127.280577,36.467591,20,12,8,12,16,32,"용포로, 대평동, 금남면, 세종, 30083, 대한민국",세종특별자치시,26
81,20/12/07 07:01:21,401,세종특별자치시 세종시 대평동(대평동) 484-2,127.275367,36.466638,20,12,7,7,1,21,"대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
82,20/12/07 12:11:55,401,세종특별자치시 전의면 읍내리 315-8 ,127.19796,36.67844,20,12,7,12,11,55,"의당전의로, 전의면, 세종, 30004, 대한민국",세종특별자치시,0
83,20/12/07 08:36:05,401,세종특별자치시 세종시 가람동(한솔동) 791-9,127.25212143,36.47097934,20,12,7,8,36,5,"이마트 세종점, 687, 금송로, 가람동, 한솔동, 세종, 30065, 대한민국",세종특별자치시,13
84,20/12/07 12:48:54,401,세종특별자치시 세종시 보람동(행정:보람동) 628-4,127.289132,36.47784,20,12,7,12,48,54,"골드타워, 51, 호려울로, 보람동, 신촌리, 세종, 30151, 대한민국",세종특별자치시,23
85,20/12/07 10:19:00,401,세종특별자치시 세종시 장군면 봉안리(행정:장군면) 380-1,127.221452,36.499755,20,12,7,10,19,0,"장군면, 세종, 30053, 대한민국",세종특별자치시,29
86,20/12/06 20:31:37,401,세종특별자치시 세종시 한솔동(행정:한솔동) 977,127.25529438,36.4743184,20,12,6,20,31,37,"한솔중학교(첫마을7단지), 나리로, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
87,20/12/07 16:58:25,401,세종특별자치시 부강면 부강리 1146-1 ,127.36917,36.52892,20,12,7,16,58,25,"부강5길, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
88,20/12/07 17:44:00,401,세종특별자치시 세종시 보람동(행정:보람동) 629-6,127.29083254,36.47715145,20,12,7,17,44,0,"501동, 441, 남세종로, 보람동, 호탄리, 세종, 30150, 대한민국",세종특별자치시,23
91,20/12/06 08:48:02,401,세종특별자치시 세종시 조치원읍 죽림리(행정:조치원읍) 208-2,127.297722,36.59078,20,12,6,8,48,2,"죽림아파트, 14, 즘판길, 조치원읍, 세종, 30037, 대한민국",세종특별자치시,16
96,20/12/08 17:38:45,401,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 262-8,127.292443,36.603589,20,12,8,17,38,45,"25, 행복길, 조치원읍, 세종, 30021, 대한민국",세종특별자치시,18
98,20/12/08 21:40:24,401,세종특별자치시 세종시 합강동(소담동) 10-8,127.3288889,36.5322222,20,12,8,21,40,24,"행복대로, 합강동, 세종, 30134, 대한민국",세종특별자치시,5
99,20/12/08 16:03:15,401,세종특별자치시 세종시 금남면 두만리(금남면) 195-4,127.28631,36.433507,20,12,8,16,3,15,"세종로, 금남면, 세종, 30083, 대한민국",세종특별자치시,6
103,20/12/11 09:23:16,401,세종특별자치시 세종시 소담동(소담동) 32-41,127.30538464,36.48188081,20,12,11,9,23,16,"506동, 남세종로, 소담동, 장재리, 세종, 30150, 대한민국",세종특별자치시,20
104,20/12/11 13:18:47,401,세종특별자치시 세종시 나성동(행정:새롬동) 800,127.258996,36.489839,20,12,11,13,18,47,"센트럴타워, 21, 나성북로, 나성동, 새롬동, 세종, 30128, 대한민국",세종특별자치시,43
105,20/12/11 09:23:16,401,세종특별자치시 세종시 소담동(행정:소담동) 32-41,127.305614,36.482186,20,12,11,9,23,16,"507동, 남세종로, 소담동, 장재리, 세종, 30150, 대한민국",세종특별자치시,20
107,20/12/11 13:39:23,401,세종특별자치시 세종시 나성동(행정:새롬동) 800,127.258996,36.489839,20,12,11,13,39,23,"센트럴타워, 21, 나성북로, 나성동, 새롬동, 세종, 30128, 대한민국",세종특별자치시,43
108,20/12/09 21:37:22,401,세종특별자치시 세종시 조치원읍 신안리(행정:조치원읍) 389-8,127.291158,36.613964,20,12,9,21,37,22,"BBQ 조치원점, 20, 섭골길, 조치원읍, 세종, 30016, 대한민국",세종특별자치시,8
109,20/12/10 08:35:27,401,세종특별자치시 세종시 합강동(소담동) 10-32,127.32330954,36.52932482,20,12,10,8,35,27,"연청로, 합강동, 세종, 30134, 대한민국",세종특별자치시,5
110,20/12/09 16:42:57,401,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 260-8,127.29336399,36.60375263,20,12,9,16,42,57,"5, 행복12길, 침산리먹자골목, 조치원읍, 세종, 30021, 대한민국",세종특별자치시,18
112,20/12/09 19:15:46,401,세종특별자치시 세종시 보람동(행정:보람동) ,127.287354,36.478535,20,12,9,19,15,46,"스마트허브, 2150, 한누리대로, 보람동, 용포리, 세종, 30151, 대한민국",세종특별자치시,23
113,20/12/09 18:03:13,401,세종특별자치시 세종시 대평동(대평동) 499-2,127.276016,36.467863,20,12,9,18,3,13,"대평지하차도, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
119,20/12/10 18:07:55,401,세종특별자치시 세종시 나성동(행정:새롬동) 361-115,127.258718,36.491089,20,12,10,18,7,55,"디펠리체, 22, 나성북1로, 나성동, 새롬동, 세종, 30128, 대한민국",세종특별자치시,43
122,20/12/10 23:00:55,401,세종특별자치시 세종시 연동면 명학리(연동면) 641-21,127.33115673,36.53392911,20,12,10,23,0,55,"연청로, 연동면, 세종, 30134, 대한민국",세종특별자치시,5
124,20/12/10 17:33:08,401,세종특별자치시 세종시 나성동(행정:새롬동) 361-22,127.258162,36.491033,20,12,10,17,33,8,"제이빌딩, 18, 나성북1로, 나성동, 새롬동, 세종, 30128, 대한민국",세종특별자치시,43
125,20/12/09 14:54:40,401,세종특별자치시 세종시 조치원읍 상리(행정:조치원읍) ,127.301158,36.601632,20,12,9,14,54,40,"38, 조치원로, 조치원읍, 세종, 30027, 대한민국",세종특별자치시,25
127,20/12/12 10:54:52,401,세종특별자치시 세종시 대평동(행정:대평동) 484-20,127.27453846,36.46727382,20,12,12,10,54,52,"대평지하차도, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
131,20/12/12 12:00:52,401,세종특별자치시 세종시 반곡동(소담동) 산154,127.30745452,36.48197618,20,12,12,12,0,52,"소담로, 소담동, 장재리, 세종, 30079, 대한민국",세종특별자치시,20
134,20/12/11 20:21:09,401,세종특별자치시 세종시 조치원읍 상리(조치원읍) 37-4,127.30479263,36.60303391,20,12,11,20,21,9,"상리사거리, 허만석로, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
135,20/12/11 20:36:07,401,세종특별자치시 세종시 어진동(도담동) 596,127.26268915,36.4969269,20,12,11,20,36,7,"가름로, 어진동, 도담동, 세종, 30121, 대한민국",세종특별자치시,36
139,20/12/12 21:18:31,401,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 257-7,127.29341,36.60494,20,12,12,21,18,31,"화인주택, 34, 행복5길, 침산리먹자골목, 조치원읍, 세종, 30021, 대한민국",세종특별자치시,18
141,20/12/12 19:13:39,401,세종특별자치시 세종시 소정면 운당리(소정면) 63-1,127.154281,36.696042,20,12,12,19,13,39,"세종로, 소정면, 세종, 30000, 대한민국",세종특별자치시,1
142,20/12/11 17:01:07,401,세종특별자치시 세종시 어진동(도담동) 666,127.2597222,36.4977778,20,12,11,17,1,7,"산업부(과기정통부), 가름로, 어진동, 도담동, 세종, 30121, 대한민국",세종특별자치시,42
144,20/12/11 15:27:49,401,세종특별자치시 세종시 소담동(행정:소담동) 32-41,127.30534801,36.48187546,20,12,11,15,27,49,"506동, 남세종로, 소담동, 장재리, 세종, 30150, 대한민국",세종특별자치시,20
145,20/12/11 18:40:44,401,세종특별자치시 세종시 도담동(도담동) 400,127.26122618,36.52502418,20,12,11,18,40,44,"한누리대로, 도담동, 세종, 30092, 대한민국",세종특별자치시,14
149,20/12/14 19:32:03,401,세종특별자치시 세종시 조치원읍 침산리(행정:조치원읍) 252-5,127.292158,36.605242,20,12,14,19,32,3,"26, 행복6길, 조치원읍, 세종, 30021, 대한민국",세종특별자치시,18
150,20/12/14 09:18:08,401,세종특별자치시 세종시 도담동(도담동) 407-3,127.2568439,36.5186504,20,12,14,9,18,8,"세종충남대학교병원, 20, 보듬7로, 도담동, 세종, 30099, 대한민국",세종특별자치시,35
151,20/12/14 07:28:55,401,세종특별자치시 세종시 도담동(도담동) 408,127.25931042,36.51881964,20,12,14,7,28,55,"도담동, 세종, 30098, 대한민국",세종특별자치시,35
154,20/12/14 08:28:53,401,세종특별자치시 세종시 아름동(아름동) 1276,127.250819,36.511656,20,12,14,8,28,53,"1201동, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
156,20/12/15 13:47:44,401,세종특별자치시 세종시 부강면 부강리(부강면) 439-20,127.36694813,36.52888656,20,12,15,13,47,44,"부강4길, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
158,20/12/15 17:47:17,401,세종특별자치시 세종시 소담동(행정:소담동) ,127.308158,36.48009,20,12,15,17,47,17,"510동, 행복대로, 소담동, 반곡동, 세종, 30079, 대한민국",세종특별자치시,20
160,20/12/14 22:20:44,401,세종특별자치시 세종시 소담동(소담동) 32-100,127.30801767,36.48010319,20,12,14,22,20,44,"510동, 행복대로, 소담동, 반곡동, 세종, 30079, 대한민국",세종특별자치시,20
161,20/12/18 14:30:31,401,세종특별자치시 세종시 소담동(소담동) 32-93,127.30620146,36.48005962,20,12,18,14,30,31,"509동, 행복대로, 소담동, 장재리, 세종, 30079, 대한민국",세종특별자치시,20
162,20/12/18 09:53:26,401,세종특별자치시 세종시 나성동(행정:새롬동) 720,127.261814,36.480236,20,12,18,9,53,26,"세종행복타워, 169, 한누리대로, 나성동, 새롬동, 세종, 30130, 대한민국",세종특별자치시,44
163,20/12/18 14:19:13,401,세종특별자치시 세종시 도담동(도담동) 257 ,127.25847354,36.51558393,20,12,18,14,19,13,"도담동 먹자골목, 도담동, 세종, 30098, 대한민국",세종특별자치시,35
165,20/12/18 14:12:58,401,세종특별자치시 세종시 전동면 석곡리(전동면) 376-4,127.258608,36.657858,20,12,18,14,12,58,"하석곡길, 전동면, 세종, 30011, 대한민국",세종특별자치시,3
166,20/12/18 11:35:25,401,세종특별자치시 세종시 금남면 장재리(금남면) 214-2,127.3093665,36.47867661,20,12,18,11,35,25,"구즉세종로, 금남면, 세종, 30144, 대한민국",세종특별자치시,20
170,20/12/17 07:49:40,401,세종특별자치시 세종시 조치원읍 원리(행정:조치원읍) 1-16,127.30063,36.602326,20,12,17,7,49,40,"조치원7길, 조치원읍, 세종, 30027, 대한민국",세종특별자치시,25
171,20/12/17 11:04:19,401,세종특별자치시 세종시 조치원읍 신흥리(조치원읍) 129-8,127.29159356,36.59158884,20,12,17,11,4,19,"세종로, 조치원읍, 세종, 30033, 대한민국",세종특별자치시,16
172,20/12/17 06:26:52,401,세종특별자치시 세종시 고운동(행정:고운동) 1902,127.23586,36.500248,20,12,17,6,26,52,"만남로3길, 고운동, 세종, 30101, 대한민국",세종특별자치시,39
178,20/12/16 16:11:02,401,세종특별자치시 세종시 장군면 도계리(행정:장군면) 154-1,127.205724,36.49747,20,12,16,16,11,2,"GS25, 장척로, 장군면, 세종, 30053, 대한민국",세종특별자치시,7
179,20/12/16 16:06:28,401,세종특별자치시 세종시 장군면 도계리(행정:장군면) 154-1,127.205724,36.49747,20,12,16,16,6,28,"GS25, 장척로, 장군면, 세종, 30053, 대한민국",세종특별자치시,7
182,20/12/18 08:53:57,401,세종특별자치시 세종시 어진동(도담동) 663,127.25832939,36.4977783,20,12,18,8,53,57,"한누리대로, 어진동, 도담동, 세종, 30118, 대한민국",세종특별자치시,42
183,20/12/17 16:23:41,401,세종특별자치시 세종시 연기면 연기리(행정:연기면) 512-1,127.27774999,36.55268333,20,12,17,16,23,41,"세종로, 연기면, 세종, 30058, 대한민국",세종특별자치시,9
186,20/12/17 15:52:25,401,세종특별자치시 세종시 조치원읍 신흥리(조치원읍) 137-6,127.29149822,36.59151616,20,12,17,15,52,25,"조치원읍, 세종, 30039, 대한민국",세종특별자치시,16
187,20/12/16 11:46:24,401,세종특별자치시 세종시 어진동(행정:도담동) 671,127.262165,36.495097,20,12,16,11,46,24,"에비뉴힐, 353, 갈매로, 어진동, 도담동, 세종, 30121, 대한민국",세종특별자치시,36
189,20/12/16 11:46:24,401,세종특별자치시 세종시 어진동(행정:도담동) 671,127.262165,36.495097,20,12,16,11,46,24,"에비뉴힐, 353, 갈매로, 어진동, 도담동, 세종, 30121, 대한민국",세종특별자치시,36
191,20/12/16 11:17:12,401,세종특별자치시 세종시 도담동(행정:도담동) ,127.261412,36.525251,20,12,16,11,17,12,"해지개4교, 해밀동, 도담동, 세종, 30092, 대한민국",세종특별자치시,14
192,20/12/16 08:59:53,401,세종특별자치시 세종시 고운동(행정:고운동) 1902,127.23586,36.500248,20,12,16,8,59,53,"만남로3길, 고운동, 세종, 30101, 대한민국",세종특별자치시,39
195,20/12/19 14:10:16,401,세종특별자치시 세종시 도담동(도담동) 257 ,127.25847354,36.51558393,20,12,19,14,10,16,"도담동 먹자골목, 도담동, 세종, 30098, 대한민국",세종특별자치시,35
197,20/12/19 12:05:38,401,세종특별자치시 세종시 장군면 봉안리(행정:장군면) 377-13,127.221705,36.49954,20,12,19,12,5,38,"장척로, 장군면, 세종, 30053, 대한민국",세종특별자치시,29
198,20/12/19 13:58:37,401,세종특별자치시 세종시 연서면 월하리(행정:연서면) 654-6,127.29168328,36.57546277,20,12,19,13,58,37,"2109, 세종로, 연서면, 세종, 30049, 대한민국",세종특별자치시,11
202,20/12/18 21:23:24,401,세종특별자치시 세종시 나성동(새롬동) 735,127.255963,36.491008,20,12,18,21,23,24,"새롬다정로, 나성동, 새롬동, 세종, 30123, 대한민국",세종특별자치시,43
203,20/12/20 10:22:01,401,세종특별자치시 세종시 한솔동(행정:한솔동) 1229,127.25258533,36.47558446,20,12,20,10,22,1,"601동, 28, 누리로, 한솔동, 세종, 30130, 대한민국",세종특별자치시,13
204,20/12/20 09:47:28,401,세종특별자치시 세종시 소정면 운당리(소정면) 29-4,127.15295076,36.69767261,20,12,20,9,47,28,"세종로, 소정면, 세종, 30000, 대한민국",세종특별자치시,1
206,20/12/18 18:39:55,401,세종특별자치시 세종시 아름동(행정:아름동) 1352,127.247996,36.511475,20,12,18,18,39,55,"101, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
207,20/12/18 18:42:05,401,세종특별자치시 세종시 소담동(소담동) 32-100,127.30784897,36.48022708,20,12,18,18,42,5,"510동, 행복대로, 소담동, 반곡동, 세종, 30079, 대한민국",세종특별자치시,20
208,20/12/18 16:10:47,401,세종특별자치시 세종시 조치원읍 상리(조치원읍) 26-4,127.303716,36.602664,20,12,18,16,10,47,"조치원버스터미널, 조치원로, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
210,20/12/21 11:31:01,401,세종특별자치시 세종시 조치원읍 평리(조치원읍) 84-1,127.303866,36.603987,20,12,21,11,31,1,"허만석로, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
211,20/12/21 11:44:30,401,세종특별자치시 세종시 대평동(행정:대평동) 269-14,127.27376821,36.46918043,20,12,21,11,44,30,"세종고속시외버스터미널, 해들로, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,27
212,20/12/21 08:12:17,401,세종특별자치시 세종시 합강동(소담동) 177-5,127.32359962,36.52896681,20,12,21,8,12,17,"한누리대로, 합강동, 세종, 30134, 대한민국",세종특별자치시,5
213,20/12/21 10:45:23,401,세종특별자치시 세종시 아름동(아름동) 1350,127.24706413,36.51166818,20,12,21,10,45,23,"세종경찰서 아름지구대, 113, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
214,20/12/21 13:07:03,401,세종특별자치시 세종시 조치원읍 평리(행정:조치원읍) 84-1,127.303787,36.603901,20,12,21,13,7,3,"수원지길, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
215,20/12/21 10:46:34,401,세종특별자치시 세종시 아름동(아름동) 1351,127.24727793,36.51152814,20,12,21,10,46,34,"세종 아름동 우체국, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
219,20/12/22 18:48:58,401,세종특별자치시 세종시 아름동(아름동) 1352,127.24766119,36.5117992,20,12,22,18,48,58,"아름동복합커뮤니티센터, 114, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
223,20/12/21 21:40:00,401,세종특별자치시 세종시 다정동(새롬동) 306,127.24466613,36.49601012,20,12,21,21,40,0,"다정동, 봉안리, 세종, 30124, 대한민국",세종특별자치시,37
224,20/12/21 21:45:59,401,세종특별자치시 세종시 다정동(새롬동) 306,127.24478209,36.49595747,20,12,21,21,45,59,"다정동, 봉안리, 세종, 30124, 대한민국",세종특별자치시,37
226,20/12/22 11:26:17,401,세종특별자치시 세종시 소정면 운당리(소정면) 32-5,127.152613,36.697923,20,12,22,11,26,17,"세종로, 소정면, 세종, 30000, 대한민국",세종특별자치시,1
232,20/12/22 15:56:12,401,세종특별자치시 세종시 아름동(행정:아름동) 1352,127.247996,36.511475,20,12,22,15,56,12,"101, 보듬3로, 아름동, 세종, 30100, 대한민국",세종특별자치시,33
233,20/12/22 18:22:44,401,세종특별자치시 세종시 어진동(도담동) 655,127.26412296,36.49710774,20,12,22,18,22,44,"어진동, 도담동, 세종, 30119, 대한민국",세종특별자치시,36
236,20/12/23 14:04:38,401,세종특별자치시 세종시 대평동(대평동) 77-47,127.28135,36.46998,20,12,23,14,4,38,"금호중학교, 대평로, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,26
237,20/12/23 09:14:14,401,세종특별자치시 세종시 소정면 운당리(행정:소정면) 82-4,127.1554786,36.69224654,20,12,23,9,14,14,"행정삼거리, 세종로, 소정면, 세종, 충청남도, 31223, 대한민국",세종특별자치시,1
238,20/12/23 06:53:47,401,세종특별자치시 세종시 조치원읍 상리(행정:조치원읍) ,127.304796,36.603104,20,12,23,6,53,47,"상리사거리, 허만석로, 조치원읍, 세종, 30025, 대한민국",세종특별자치시,21
241,20/12/23 19:26:21,401,세종특별자치시 세종시 어진동(행정:도담동) 656,127.263801,36.495977,20,12,23,19,26,21,"세종푸르지오시티1차, 364, 갈매로, 어진동, 도담동, 세종, 30121, 대한민국",세종특별자치시,36
242,20/12/23 20:01:28,401,세종특별자치시 세종시 대평동(대평동) 266-28,127.2797346,36.46895479,20,12,23,20,1,28,"행복대로, 대평동, 용포리, 세종, 30153, 대한민국",세종특별자치시,26
245,20/12/24 15:32:39,401,세종특별자치시 세종시 다정동(행정:새롬동) 363-345,127.24323335,36.48938728,20,12,24,15,32,39,"세종로, 다정동, 봉안리, 세종, 30125, 대한민국",세종특별자치시,31
246,20/12/24 17:08:27,401,세종특별자치시 세종시 나성동(행정:새롬동) 720,127.261662,36.480284,20,12,24,17,8,27,"세종행복타워, 169, 한누리대로, 나성동, 새롬동, 세종, 30130, 대한민국",세종특별자치시,44
247,20/12/26 08:25:59,401,세종특별자치시 세종시 부강면 부강리(행정:부강면) 401-48,127.36609583,36.53145728,20,12,26,8,25,59,"부촌길, 부강면, 세종, 30086, 대한민국",세종특별자치시,4
249,20/12/26 06:57:00,401,세종특별자치시 세종시 장군면 도계리(장군면) 150-1,127.204941,36.498165,20,12,26,6,57,0,"무넘이길, 장군면, 세종, 30053, 대한민국",세종특별자치시,7
250,20/12/23 11:41:16,401,세종특별자치시  연동면 합강리(연동면) 10-32 ,127.32346112,36.52945022,20,12,23,11,41,16,"연청로, 합강동, 세종, 30134, 대한민국",세종특별자치시,5
253,20/12/24 19:36:55,401,세종특별자치시 세종시 다정동(새롬동) 6-5,127.2488451,36.49562716,20,12,24,19,36,55,"다정중앙로, 다정동, 세종, 30124, 대한민국",세종특별자치시,37
258,20/12/23 21:34:29,401,세종특별자치시 세종시 도담동(행정:도담동) 848,127.258912,36.511586,20,12,23,21,34,29,"803동, 7, 보듬3로, 도담동, 세종, 30100, 대한민국",세종특별자치시,35
