date,accident_num,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 이슬점온도(°C),year,month,day,측정소명,O3,PM10,PM2.5,season,요일,workday
2020-01-19,0.0,2.6,0.0,1.6,62.1,-4.1,2020,1,19,구성동,0,1,2,winter,일요일,1
2020-01-20,0.0,3.4,0.0,2.2,57.3,-4.7,2020,1,20,구성동,1,1,1,winter,월요일,0
2020-01-21,0.0,0.5,0.0,1.0,45.3,-10.7,2020,1,21,구성동,0,1,1,winter,화요일,0
2020-01-22,2.0,2.4,0.7,0.7,69.5,-2.8,2020,1,22,구성동,0,1,1,winter,수요일,0
2020-01-23,0.0,6.1,0.6,1.0,62.5,-1.2,2020,1,23,구성동,0,1,1,winter,목요일,0
2020-01-24,2.0,4.4,0.0,0.8,65.6,-2.1,2020,1,24,구성동,0,1,2,winter,금요일,1
2020-01-25,0.0,5.2,0.0,0.7,75.6,1.1,2020,1,25,구성동,0,1,1,winter,토요일,1
2020-01-26,0.0,6.5,0.0,2.6,71.1,1.1,2020,1,26,구성동,0,1,1,winter,일요일,1
2020-01-27,0.0,6.0,7.5,3.4,76.8,1.9,2020,1,27,구성동,0,0,0,winter,월요일,0
2020-01-28,1.0,6.3,0.0,0.8,78.6,2.6,2020,1,28,구성동,0,0,0,winter,화요일,0
2020-01-29,0.0,6.7,0.0,0.9,64.0,0.2,2020,1,29,구성동,0,0,0,winter,수요일,0
2020-01-30,3.0,6.1,0.0,1.0,64.1,-0.6,2020,1,30,구성동,0,0,1,winter,목요일,0
2020-01-31,0.0,3.7,0.0,1.0,72.3,-1.1,2020,1,31,구성동,0,1,1,winter,금요일,0
2020-02-01,0.0,2.1,0.0,0.9,79.0,-1.3,2020,2,1,구성동,0,1,2,winter,토요일,1
2020-02-02,0.0,1.8,0.0,0.9,71.5,-3.3,2020,2,2,구성동,0,1,2,winter,일요일,1
2020-02-03,0.0,1.5,0.0,1.6,58.0,-6.3,2020,2,3,구성동,1,1,1,winter,월요일,0
2020-02-04,0.0,0.4,0.7,1.1,61.9,-6.8,2020,2,4,구성동,0,0,1,winter,화요일,0
2020-02-05,1.0,-4.6,0.1,2.4,47.8,-14.6,2020,2,5,구성동,1,0,0,winter,수요일,0
2020-02-06,0.0,-5.0,0.0,0.9,45.9,-15.6,2020,2,6,구성동,0,1,1,winter,목요일,0
2020-02-07,0.0,-1.2,0.0,1.1,54.5,-9.5,2020,2,7,구성동,0,1,1,winter,금요일,0
2020-02-08,0.0,1.6,0.0,1.8,55.6,-6.9,2020,2,8,구성동,1,1,1,winter,토요일,1
2020-02-09,0.0,0.5,0.0,1.2,57.9,-7.5,2020,2,9,구성동,0,0,1,winter,일요일,1
2020-02-10,1.0,5.1,0.0,1.2,53.6,-4.4,2020,2,10,구성동,0,1,1,winter,월요일,0
2020-02-11,3.0,6.6,0.0,0.9,47.5,-5.1,2020,2,11,구성동,0,1,1,winter,화요일,0
2020-02-12,0.0,7.7,15.8,1.2,91.3,6.2,2020,2,12,구성동,0,1,1,winter,수요일,0
2020-02-13,3.0,7.4,0.1,1.3,91.0,6.0,2020,2,13,구성동,0,1,1,winter,목요일,0
2020-02-14,0.0,7.5,0.0,0.7,83.6,4.6,2020,2,14,구성동,0,1,2,winter,금요일,0
2020-02-15,3.0,9.9,1.5,1.3,78.8,5.9,2020,2,15,구성동,0,1,1,winter,토요일,1
2020-02-16,0.0,0.8,8.4,2.3,84.0,-1.6,2020,2,16,구성동,0,0,0,winter,일요일,1
2020-02-17,1.0,-3.2,0.7,2.8,73.0,-7.3,2020,2,17,구성동,1,0,0,winter,월요일,0
2020-02-18,1.0,-1.6,0.1,1.3,63.6,-8.3,2020,2,18,구성동,0,0,0,winter,화요일,0
2020-02-19,0.0,2.1,0.0,1.0,66.9,-3.8,2020,2,19,구성동,0,1,1,winter,수요일,0
2020-02-20,0.0,5.3,0.0,0.9,67.5,-0.9,2020,2,20,구성동,0,1,1,winter,목요일,0
2020-02-21,2.0,7.3,2.3,0.9,71.0,1.7,2020,2,21,구성동,0,1,1,winter,금요일,0
2020-02-22,0.0,6.3,1.2,2.7,59.1,-1.9,2020,2,22,구성동,1,1,1,winter,토요일,1
2020-02-23,0.0,3.7,0.0,1.5,52.3,-5.9,2020,2,23,구성동,1,0,0,winter,일요일,1
2020-02-24,0.0,7.4,0.4,1.0,53.8,-2.6,2020,2,24,구성동,0,0,0,winter,월요일,0
2020-02-25,0.0,7.0,55.3,1.5,93.1,5.9,2020,2,25,구성동,0,0,0,winter,화요일,0
2020-02-26,1.0,8.0,0.0,1.4,76.1,3.7,2020,2,26,구성동,0,0,0,winter,수요일,0
2020-02-27,2.0,6.9,0.0,1.3,66.0,0.4,2020,2,27,구성동,0,0,1,winter,목요일,0
2020-02-28,0.0,5.1,4.6,1.0,86.5,3.0,2020,2,28,구성동,0,0,0,winter,금요일,0
2020-02-29,1.0,7.4,0.0,0.7,82.0,4.2,2020,2,29,구성동,0,0,0,winter,토요일,1
2020-03-01,0.0,6.3,0.0,1.4,81.8,3.3,2020,3,1,구성동,0,1,1,spring,일요일,1
2020-03-02,0.0,5.3,0.0,2.0,55.8,-3.4,2020,3,2,구성동,1,1,1,spring,월요일,0
2020-03-03,0.0,7.2,0.0,1.3,64.5,0.5,2020,3,3,구성동,1,1,1,spring,화요일,0
2020-03-04,0.0,4.2,0.0,2.6,55.4,-4.5,2020,3,4,구성동,1,0,1,spring,수요일,0
2020-03-05,1.0,3.0,0.0,1.6,51.3,-6.9,2020,3,5,구성동,1,1,1,spring,목요일,0
2020-03-06,0.0,4.5,0.0,1.1,48.8,-6.9,2020,3,6,구성동,0,1,1,spring,금요일,0
2020-03-07,0.0,6.0,0.0,0.7,59.0,-1.7,2020,3,7,구성동,0,1,1,spring,토요일,1
2020-03-08,0.0,8.7,0.0,1.0,60.9,0.2,2020,3,8,구성동,0,1,1,spring,일요일,1
2020-03-09,1.0,10.0,1.6,1.0,68.4,3.8,2020,3,9,구성동,0,1,1,spring,월요일,0
2020-03-10,0.0,6.8,8.8,1.8,86.3,4.5,2020,3,10,구성동,1,1,1,spring,화요일,0
2020-03-11,0.0,4.8,0.0,2.3,47.4,-6.2,2020,3,11,구성동,1,0,0,spring,수요일,0
2020-03-12,0.0,7.0,0.0,1.4,48.0,-5.0,2020,3,12,구성동,1,1,0,spring,목요일,0
2020-03-13,0.0,6.6,0.0,1.7,48.6,-5.2,2020,3,13,구성동,1,0,0,spring,금요일,0
2020-03-14,0.0,4.7,0.0,1.7,50.5,-5.5,2020,3,14,구성동,1,0,0,spring,토요일,1
2020-03-15,0.0,5.4,0.0,3.1,51.6,-4.5,2020,3,15,구성동,1,1,0,spring,일요일,1
2020-03-16,0.0,4.4,0.0,1.6,48.4,-6.6,2020,3,16,구성동,1,0,0,spring,월요일,0
2020-03-17,0.0,7.8,0.0,2.2,72.6,3.0,2020,3,17,구성동,1,1,1,spring,화요일,0
2020-03-18,3.0,10.4,0.0,1.1,56.1,-0.4,2020,3,18,구성동,0,1,1,spring,수요일,0
2020-03-19,1.0,10.4,0.0,3.2,51.9,0.6,2020,3,19,구성동,1,1,1,spring,목요일,0
2020-03-20,0.0,9.6,0.0,2.2,43.9,-3.0,2020,3,20,구성동,1,1,0,spring,금요일,0
2020-03-21,0.0,14.6,0.0,1.8,55.4,5.5,2020,3,21,구성동,1,1,1,spring,토요일,1
2020-03-22,0.0,13.2,0.0,2.0,47.4,0.3,2020,3,22,구성동,1,1,1,spring,일요일,1
2020-03-23,0.0,10.2,0.0,1.7,52.3,0.1,2020,3,23,구성동,1,1,1,spring,월요일,0
2020-03-24,2.0,11.4,0.0,1.1,53.0,0.6,2020,3,24,구성동,1,1,1,spring,화요일,0
2020-03-25,1.0,13.6,0.0,1.0,48.4,1.9,2020,3,25,구성동,1,1,1,spring,수요일,0
2020-03-26,0.0,14.2,1.4,1.0,74.4,9.3,2020,3,26,구성동,0,1,1,spring,목요일,0
2020-03-27,0.0,11.9,12.6,1.4,82.1,8.8,2020,3,27,구성동,0,1,1,spring,금요일,0
2020-03-28,0.0,7.5,0.0,1.5,38.0,-6.6,2020,3,28,구성동,0,1,0,spring,토요일,1
2020-03-29,1.0,8.9,0.0,1.4,49.5,-1.9,2020,3,29,구성동,0,1,0,spring,일요일,1
2020-03-30,2.0,12.2,0.0,1.2,48.6,1.3,2020,3,30,구성동,0,1,1,spring,월요일,0
2020-03-31,1.0,12.6,0.0,1.2,43.3,-0.7,2020,3,31,구성동,0,1,1,spring,화요일,0
2020-04-01,0.0,11.6,0.0,1.8,40.3,-2.1,2020,4,1,구성동,0,1,1,spring,수요일,0
2020-04-02,0.0,10.1,0.0,1.2,49.0,-1.1,2020,4,2,구성동,0,1,1,spring,목요일,0
2020-04-03,0.0,11.0,0.0,1.7,44.3,-1.8,2020,4,3,구성동,0,1,1,spring,금요일,0
2020-04-04,0.0,9.5,0.0,2.9,48.9,-2.2,2020,4,4,구성동,1,1,1,spring,토요일,1
2020-04-05,1.0,8.0,0.0,1.4,35.0,-8.1,2020,4,5,구성동,0,1,0,spring,일요일,1
2020-04-06,0.0,9.7,0.0,1.3,47.4,-2.3,2020,4,6,구성동,1,1,1,spring,월요일,0
2020-04-07,0.0,11.5,0.0,2.1,58.1,3.1,2020,4,7,구성동,1,1,1,spring,화요일,0
2020-04-08,0.0,10.1,0.0,2.3,40.5,-5.6,2020,4,8,구성동,1,1,0,spring,수요일,0
2020-04-09,0.0,9.6,0.0,1.5,44.5,-2.7,2020,4,9,구성동,1,1,1,spring,목요일,0
2020-04-10,1.0,10.9,0.0,1.6,50.9,0.6,2020,4,10,구성동,1,1,1,spring,금요일,0
2020-04-11,0.0,8.9,0.0,1.5,61.1,1.2,2020,4,11,구성동,1,1,1,spring,토요일,1
2020-04-12,0.0,8.6,1.3,1.9,70.8,3.2,2020,4,12,구성동,1,0,1,spring,일요일,1
2020-04-13,2.0,10.7,0.0,2.2,43.1,-2.4,2020,4,13,구성동,1,0,0,spring,월요일,0
2020-04-14,0.0,12.9,0.0,1.5,42.8,-1.1,2020,4,14,구성동,1,1,1,spring,화요일,0
2020-04-15,0.0,12.8,0.0,1.0,40.5,-1.8,2020,4,15,구성동,1,1,1,spring,수요일,0
2020-04-16,0.0,16.0,0.0,2.3,44.8,3.1,2020,4,16,구성동,1,1,1,spring,목요일,0
2020-04-17,1.0,14.3,4.0,2.6,70.1,8.6,2020,4,17,구성동,1,1,0,spring,금요일,0
2020-04-18,0.0,14.2,0.1,1.8,67.8,7.8,2020,4,18,구성동,1,1,1,spring,토요일,1
2020-04-19,0.0,11.3,12.4,2.2,85.1,8.7,2020,4,19,구성동,1,0,0,spring,일요일,1
2020-04-20,2.0,11.0,0.0,1.7,78.8,7.2,2020,4,20,구성동,1,0,0,spring,월요일,0
2020-04-21,0.0,9.0,0.0,2.9,49.8,-2.3,2020,4,21,구성동,1,1,0,spring,화요일,0
2020-04-22,1.0,7.3,0.0,3.3,42.6,-4.9,2020,4,22,구성동,1,1,0,spring,수요일,0
2020-04-23,0.0,9.1,0.0,2.7,43.1,-3.6,2020,4,23,구성동,1,1,0,spring,목요일,0
2020-04-24,1.0,10.7,0.0,2.4,42.8,-2.5,2020,4,24,구성동,1,1,0,spring,금요일,0
2020-04-25,2.0,14.9,0.0,2.7,47.8,3.1,2020,4,25,구성동,1,1,1,spring,토요일,1
2020-04-26,0.0,12.8,0.0,2.1,44.8,-1.1,2020,4,26,구성동,1,1,0,spring,일요일,1
2020-04-27,0.0,12.1,0.0,1.6,45.3,0.0,2020,4,27,구성동,1,0,0,spring,월요일,0
2020-04-28,0.0,13.5,0.0,2.1,54.0,2.9,2020,4,28,구성동,1,1,0,spring,화요일,0
2020-04-29,0.0,16.2,0.0,1.8,44.1,1.9,2020,4,29,구성동,1,1,1,spring,수요일,0
2020-04-30,1.0,17.7,0.0,1.5,58.4,8.7,2020,4,30,구성동,1,1,1,spring,목요일,1
2020-05-01,0.0,22.4,0.0,2.3,69.0,15.8,2020,5,1,구성동,1,1,1,spring,금요일,0
2020-05-02,4.0,22.5,0.0,1.6,62.3,14.1,2020,5,2,구성동,1,1,1,spring,토요일,1
2020-05-03,0.0,19.2,6.5,1.2,86.9,16.8,2020,5,3,구성동,0,0,0,spring,일요일,1
2020-05-04,0.0,20.6,0.0,1.6,73.1,15.1,2020,5,4,구성동,0,1,0,spring,월요일,0
2020-05-05,1.0,15.6,1.4,1.0,88.3,13.6,2020,5,5,구성동,0,1,0,spring,화요일,1
2020-05-06,0.0,19.7,0.0,1.6,61.9,10.6,2020,5,6,구성동,1,1,0,spring,수요일,0
2020-05-07,2.0,19.6,0.0,3.8,36.6,3.5,2020,5,7,구성동,1,0,0,spring,목요일,0
2020-05-08,1.0,19.4,7.4,2.3,43.3,4.9,2020,5,8,구성동,1,0,0,spring,금요일,0
2020-05-09,0.0,15.9,17.9,2.2,95.6,15.2,2020,5,9,구성동,1,0,0,spring,토요일,1
2020-05-10,0.0,14.7,0.1,2.2,91.8,13.3,2020,5,10,구성동,1,0,0,spring,일요일,1
2020-05-11,1.0,18.5,0.0,2.2,63.0,10.5,2020,5,11,구성동,1,1,1,spring,월요일,0
2020-05-12,0.0,16.5,0.2,2.1,63.3,8.9,2020,5,12,구성동,1,1,1,spring,화요일,0
2020-05-13,1.0,16.3,0.0,1.8,50.3,4.4,2020,5,13,구성동,1,0,0,spring,수요일,0
2020-05-14,1.0,19.9,0.0,0.9,45.3,6.6,2020,5,14,구성동,0,1,0,spring,목요일,0
2020-05-15,1.0,16.7,24.9,1.8,87.1,14.2,2020,5,15,구성동,0,1,0,spring,금요일,0
2020-05-16,0.0,17.9,0.0,1.5,87.4,15.7,2020,5,16,구성동,1,0,0,spring,토요일,1
2020-05-17,0.0,21.2,0.0,1.2,73.6,15.9,2020,5,17,구성동,1,1,1,spring,일요일,1
2020-05-18,0.0,20.2,7.6,2.6,80.3,16.3,2020,5,18,구성동,1,0,1,spring,월요일,0
2020-05-19,0.0,13.5,3.3,1.7,85.5,11.1,2020,5,19,구성동,1,0,0,spring,화요일,0
2020-05-20,0.0,14.5,0.0,1.1,70.5,8.8,2020,5,20,구성동,0,0,0,spring,수요일,0
2020-05-21,0.0,17.5,0.0,1.0,70.4,11.6,2020,5,21,구성동,0,0,0,spring,목요일,0
2020-05-22,0.0,19.1,8.3,1.9,76.6,14.4,2020,5,22,구성동,1,1,1,spring,금요일,0
2020-05-23,2.0,20.6,0.0,1.6,71.5,14.5,2020,5,23,구성동,1,1,1,spring,토요일,1
2020-05-24,0.0,19.8,2.8,1.4,80.4,16.2,2020,5,24,구성동,1,0,1,spring,일요일,1
2020-05-25,1.0,17.8,0.0,0.9,81.3,14.3,2020,5,25,구성동,1,0,1,spring,월요일,0
2020-05-26,0.0,19.6,0.0,1.0,71.0,13.7,2020,5,26,구성동,1,1,1,spring,화요일,0
2020-05-27,1.0,19.1,0.0,1.4,60.3,10.0,2020,5,27,구성동,1,0,1,spring,수요일,0
2020-05-28,0.0,19.1,0.0,1.4,70.1,12.7,2020,5,28,구성동,1,1,1,spring,목요일,0
2020-05-29,0.0,21.5,0.0,1.0,64.4,13.7,2020,5,29,구성동,1,1,1,spring,금요일,0
2020-05-30,0.0,22.7,0.0,1.4,62.6,14.4,2020,5,30,구성동,1,1,1,spring,토요일,1
2020-05-31,0.0,21.9,0.0,1.0,67.4,15.1,2020,5,31,구성동,1,1,1,spring,일요일,1
2020-06-01,0.0,21.1,0.6,2.1,60.3,11.8,2020,6,1,구성동,1,0,0,summer,월요일,0
2020-06-02,2.0,20.1,0.0,1.2,60.4,11.7,2020,6,2,구성동,1,0,0,summer,화요일,0
2020-06-03,1.0,23.3,0.0,1.4,75.3,18.2,2020,6,3,구성동,1,1,1,summer,수요일,0
2020-06-04,0.0,25.3,0.0,2.2,72.1,19.4,2020,6,4,구성동,1,1,1,summer,목요일,0
2020-06-05,0.0,25.4,0.0,1.8,73.0,19.7,2020,6,5,구성동,1,1,1,summer,금요일,0
2020-06-06,1.0,24.7,3.4,1.9,74.5,19.3,2020,6,6,구성동,1,1,1,summer,토요일,1
2020-06-07,0.0,24.0,0.0,1.2,72.8,18.3,2020,6,7,구성동,1,1,1,summer,일요일,1
2020-06-08,0.0,26.2,0.0,1.1,62.4,17.9,2020,6,8,구성동,1,1,1,summer,월요일,0
2020-06-09,0.0,27.3,0.0,1.2,59.3,17.8,2020,6,9,구성동,1,1,1,summer,화요일,0
2020-06-10,1.0,26.1,58.7,1.0,72.6,20.0,2020,6,10,구성동,1,1,1,summer,수요일,0
2020-06-11,1.0,25.4,27.7,0.9,80.8,21.5,2020,6,11,구성동,1,0,0,summer,목요일,0
2020-06-12,1.0,24.4,3.6,0.8,88.4,22.3,2020,6,12,구성동,0,1,1,summer,금요일,0
2020-06-13,1.0,24.4,19.6,1.1,90.0,22.4,2020,6,13,구성동,1,0,0,summer,토요일,1
2020-06-14,0.0,24.4,0.8,1.5,82.1,20.8,2020,6,14,구성동,1,0,0,summer,일요일,1
2020-06-15,1.0,23.3,0.0,1.8,71.3,17.4,2020,6,15,구성동,1,0,0,summer,월요일,0
2020-06-16,1.0,24.2,0.0,1.4,70.1,17.9,2020,6,16,구성동,1,1,1,summer,화요일,0
2020-06-17,0.0,23.5,0.0,1.3,72.0,17.8,2020,6,17,구성동,1,1,1,summer,수요일,0
2020-06-18,1.0,20.9,0.7,1.5,82.3,17.7,2020,6,18,구성동,1,0,0,summer,목요일,0
2020-06-19,1.0,24.0,0.0,1.1,70.8,17.9,2020,6,19,구성동,1,0,1,summer,금요일,0
2020-06-20,0.0,24.8,0.1,1.1,77.5,20.2,2020,6,20,구성동,1,1,1,summer,토요일,1
2020-06-21,1.0,26.2,0.0,1.1,72.1,20.4,2020,6,21,구성동,1,1,1,summer,일요일,1
2020-06-22,2.0,27.2,0.0,1.4,66.1,19.5,2020,6,22,구성동,1,1,1,summer,월요일,0
2020-06-23,1.0,27.0,0.0,1.2,71.4,21.1,2020,6,23,구성동,1,1,1,summer,화요일,0
2020-06-24,0.0,23.0,7.3,2.1,84.0,19.8,2020,6,24,구성동,1,0,0,summer,수요일,0
2020-06-25,0.0,21.8,3.9,1.8,91.8,20.3,2020,6,25,구성동,1,0,0,summer,목요일,0
2020-06-26,0.0,23.2,0.1,1.6,81.5,19.6,2020,6,26,구성동,1,0,0,summer,금요일,0
2020-06-27,0.0,24.6,0.0,0.7,79.3,20.4,2020,6,27,구성동,1,0,1,summer,토요일,1
2020-06-28,0.0,24.8,0.0,1.0,75.0,19.7,2020,6,28,구성동,1,0,1,summer,일요일,1
2020-06-29,0.0,22.4,41.5,2.4,89.9,20.5,2020,6,29,구성동,1,0,1,summer,월요일,0
2020-06-30,1.0,20.3,24.5,1.6,96.9,19.7,2020,6,30,구성동,1,0,0,summer,화요일,0
2020-07-01,0.0,20.9,0.2,1.1,84.1,18.0,2020,7,1,구성동,1,0,0,summer,수요일,0
2020-07-02,1.0,23.5,0.0,1.1,76.8,18.8,2020,7,2,구성동,1,1,1,summer,목요일,0
2020-07-03,0.0,22.0,1.0,1.9,80.9,18.4,2020,7,3,구성동,0,0,0,summer,금요일,0
2020-07-04,0.0,21.7,0.0,1.4,82.8,18.4,2020,7,4,구성동,1,0,0,summer,토요일,1
2020-07-05,0.0,23.5,0.0,0.5,81.1,19.8,2020,7,5,구성동,1,0,0,summer,일요일,1
2020-07-06,0.0,24.3,0.2,1.1,84.8,21.3,2020,7,6,구성동,1,0,0,summer,월요일,0
2020-07-07,0.0,24.7,0.2,1.1,83.1,21.5,2020,7,7,구성동,1,0,0,summer,화요일,0
2020-07-08,0.0,25.2,0.0,0.8,79.9,21.1,2020,7,8,구성동,1,0,1,summer,수요일,0
2020-07-09,2.0,26.6,0.0,2.1,76.1,21.7,2020,7,9,구성동,1,1,1,summer,목요일,0
2020-07-10,0.0,25.4,9.5,1.9,85.5,22.7,2020,7,10,구성동,1,0,1,summer,금요일,0
2020-07-11,0.0,26.2,0.0,1.1,78.3,21.9,2020,7,11,구성동,1,0,0,summer,토요일,1
2020-07-12,0.0,22.2,43.8,3.1,89.3,20.2,2020,7,12,구성동,1,0,0,summer,일요일,1
2020-07-13,0.0,18.8,117.9,3.5,97.0,18.3,2020,7,13,구성동,1,0,0,summer,월요일,0
2020-07-14,0.0,19.9,6.1,1.4,94.8,19.0,2020,7,14,구성동,0,0,0,summer,화요일,0
2020-07-15,0.0,21.1,9.3,0.6,92.6,19.8,2020,7,15,구성동,0,0,0,summer,수요일,0
2020-07-16,0.0,23.2,0.0,0.6,84.4,20.2,2020,7,16,구성동,1,0,0,summer,목요일,0
2020-07-17,0.0,25.0,0.0,0.8,81.1,21.3,2020,7,17,구성동,1,1,1,summer,금요일,0
2020-07-18,0.0,25.0,0.0,1.7,75.1,19.9,2020,7,18,구성동,1,0,1,summer,토요일,1
2020-07-19,0.0,25.6,7.2,2.6,85.0,22.8,2020,7,19,구성동,1,0,0,summer,일요일,1
2020-07-20,0.0,24.5,20.2,2.1,92.9,23.1,2020,7,20,구성동,1,0,0,summer,월요일,0
2020-07-21,1.0,25.9,0.0,0.6,79.3,21.7,2020,7,21,구성동,1,0,0,summer,화요일,0
2020-07-22,0.0,23.5,25.1,0.9,94.9,22.5,2020,7,22,구성동,0,0,0,summer,수요일,0
2020-07-23,1.0,21.7,52.8,2.3,97.0,21.1,2020,7,23,구성동,0,0,0,summer,목요일,0
2020-07-24,0.0,21.6,13.5,1.6,96.3,20.9,2020,7,24,구성동,1,0,0,summer,금요일,0
2020-07-25,0.0,22.7,2.6,0.8,94.9,21.8,2020,7,25,구성동,0,0,0,summer,토요일,1
2020-07-26,2.0,24.0,0.4,0.6,93.5,22.8,2020,7,26,구성동,0,0,0,summer,일요일,1
2020-07-27,0.0,24.4,2.6,1.1,90.3,22.6,2020,7,27,구성동,0,0,0,summer,월요일,0
2020-07-28,0.0,24.0,6.6,1.0,95.9,23.2,2020,7,28,구성동,0,0,0,summer,화요일,0
2020-07-29,0.0,24.7,67.9,0.7,97.0,24.1,2020,7,29,구성동,0,0,0,summer,수요일,0
2020-07-30,0.0,25.0,141.3,1.4,96.0,24.2,2020,7,30,구성동,0,0,0,summer,목요일,0
2020-07-31,1.0,25.9,16.5,0.7,93.5,24.7,2020,7,31,구성동,0,0,0,summer,금요일,0
2020-08-01,1.0,25.8,17.5,1.2,92.0,24.2,2020,8,1,구성동,0,0,0,summer,토요일,1
2020-08-02,1.0,27.7,5.4,2.3,86.0,25.0,2020,8,2,구성동,0,0,0,summer,일요일,1
2020-08-03,1.0,27.0,1.4,1.9,86.6,24.4,2020,8,3,구성동,0,0,0,summer,월요일,0
2020-08-04,0.0,27.5,18.5,1.4,88.5,25.2,2020,8,4,구성동,0,0,0,summer,화요일,0
2020-08-05,0.0,26.4,24.4,1.1,95.5,25.5,2020,8,5,구성동,0,0,0,summer,수요일,0
2020-08-06,0.0,25.5,24.0,2.6,95.6,24.7,2020,8,6,구성동,0,0,0,summer,목요일,0
2020-08-07,1.0,23.5,34.9,0.7,96.9,22.9,2020,8,7,구성동,0,0,0,summer,금요일,0
2020-08-08,0.0,23.8,42.9,0.8,97.0,23.2,2020,8,8,구성동,0,0,0,summer,토요일,1
2020-08-09,1.0,26.2,32.1,1.5,91.5,24.6,2020,8,9,구성동,0,0,0,summer,일요일,1
2020-08-10,0.0,26.2,17.5,1.2,95.5,25.3,2020,8,10,구성동,0,0,0,summer,월요일,0
2020-08-11,1.0,26.0,59.3,1.2,95.3,25.1,2020,8,11,구성동,0,0,0,summer,화요일,0
2020-08-12,0.0,27.3,17.5,0.8,95.1,26.3,2020,8,12,구성동,0,0,0,summer,수요일,0
2020-08-13,0.0,28.7,0.0,1.4,86.1,26.0,2020,8,13,구성동,0,0,0,summer,목요일,0
2020-08-14,0.0,28.5,0.6,1.8,86.9,26.0,2020,8,14,구성동,1,0,0,summer,금요일,0
2020-08-15,0.0,29.2,0.0,1.9,81.4,25.5,2020,8,15,구성동,1,0,0,summer,토요일,1
2020-08-16,0.0,28.7,0.0,1.9,79.4,24.4,2020,8,16,구성동,0,0,0,summer,일요일,1
2020-08-17,1.0,28.6,0.0,0.7,82.6,25.0,2020,8,17,구성동,0,0,0,summer,월요일,1
2020-08-18,1.0,29.1,0.0,0.9,80.1,24.9,2020,8,18,구성동,0,0,0,summer,화요일,0
2020-08-19,0.0,28.9,0.0,1.0,80.4,24.9,2020,8,19,구성동,0,0,1,summer,수요일,0
2020-08-20,0.0,29.1,0.0,0.8,76.5,24.0,2020,8,20,구성동,1,1,1,summer,목요일,0
2020-08-21,0.0,29.0,0.0,0.6,79.8,24.7,2020,8,21,구성동,1,1,1,summer,금요일,0
2020-08-22,2.0,25.8,11.8,1.6,91.5,24.2,2020,8,22,구성동,0,0,1,summer,토요일,1
2020-08-23,0.0,27.1,0.0,0.7,80.6,23.1,2020,8,23,구성동,0,0,0,summer,일요일,1
2020-08-24,0.0,28.5,0.0,1.0,79.4,24.2,2020,8,24,구성동,0,0,1,summer,월요일,0
2020-08-25,0.0,29.9,0.0,1.4,75.8,24.6,2020,8,25,구성동,0,0,1,summer,화요일,0
2020-08-26,0.0,29.3,1.6,3.9,78.8,25.0,2020,8,26,구성동,0,0,0,summer,수요일,0
2020-08-27,0.0,29.5,1.0,3.5,77.4,24.9,2020,8,27,구성동,1,0,0,summer,목요일,0
2020-08-28,0.0,29.3,27.4,1.2,81.0,25.3,2020,8,28,구성동,0,0,0,summer,금요일,0
